protocol,ether_src_mac,ether_dst_mac,ip_src,ip_dst,ip_len,ip_flags_df,ip_flags_mf,ip_frag_offset,ip_id,ip_ttl,ip_proto,ip_checksum,tcp_window_size,tcp_ack,tcp_seq,tcp_len,tcp_stream,tcp_urgent_pointer,tcp_flags,tcp_analysis_ack_rtt,tcp_analysis_push_bytes_sent,tcp_analysis_bytes_in_flight,frame_time_relative,frame_time_delta,modbus_length,modbus_unit_id,modbus_func_code,modbus_data,attack_specific,attack_category,attack_obj,attack_binary
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf083,64,6,0xc8ce,502,749,817,0,0,0,0x0010,0.000019677,N/A,N/A,13.490746840,0.000019677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,64,1,0,0,0xee6e,64,6,0xcad6,502,298,325,12,2,0,0x0018,N/A,12,12,13.677823041,0.187076201,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,4e:d1:fa:b3:e4:46,3a:28:b4:02:e8:91,192.168.0.13,192.168.0.21,63,1,0,0,0xe595,64,6,0xd3b0,509,337,298,11,2,0,0x0018,0.000936708,11,11,13.678759749,0.000936708,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,52,1,0,0,0xee6f,64,6,0xcae1,502,309,337,0,2,0,0x0010,0.000020358,N/A,N/A,13.678780107,0.000020358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf084,64,6,0xc8c1,502,749,817,12,0,0,0x0018,N/A,12,12,13.691239317,0.012459210,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa690,64,6,0x12b7,509,829,749,11,0,0,0x0018,0.000540483,11,11,13.691779800,0.000540483,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf085,64,6,0xc8cc,502,760,829,0,0,0,0x0010,0.000020258,N/A,N/A,13.691800058,0.000020258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf086,64,6,0xc8bf,502,760,829,12,0,0,0x0018,N/A,12,12,13.892817870,0.201017812,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa691,64,6,0x12b6,509,841,760,11,0,0,0x0018,0.000830841,11,11,13.893648711,0.000830841,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf087,64,6,0xc8ca,502,771,841,0,0,0,0x0010,0.000029064,N/A,N/A,13.893677775,0.000029064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf088,64,6,0xc8bd,502,771,841,12,0,0,0x0018,N/A,12,12,14.094610375,0.200932600,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa692,64,6,0x12b5,509,853,771,11,0,0,0x0018,0.000684782,11,11,14.095295157,0.000684782,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf089,64,6,0xc8c8,502,782,853,0,0,0,0x0010,0.000020007,N/A,N/A,14.095315164,0.000020007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,d6:a4:f0:6f:d6:c6,192.168.0.21,192.168.0.14,64,1,0,0,0xb5a1,64,6,0x03a3,502,169,169,12,1,0,0x0018,N/A,12,12,14.142845122,0.047529958,N/A,N/A,5,00000000,N/A,N/A,N/A,0
MODBUS,d6:a4:f0:6f:d6:c6,3a:28:b4:02:e8:91,192.168.0.14,192.168.0.21,64,1,0,0,0x10cb,64,6,0xa879,509,181,169,12,1,0,0x0018,0.000776211,12,12,14.143621333,0.000776211,N/A,N/A,5,00000000,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,d6:a4:f0:6f:d6:c6,192.168.0.21,192.168.0.14,52,1,0,0,0xb5a2,64,6,0x03ae,502,181,181,0,1,0,0x0010,0.000018946,N/A,N/A,14.143640279,0.000018946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,64,1,0,0,0xee70,64,6,0xcad4,502,309,337,12,2,0,0x0018,N/A,12,12,14.179702906,0.036062627,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
